"Bloque","Aplicacion","tProcesamiento","dInicio","dFin"
"Bloque 0","-",0,0,0
"Bloque 1","Aplicacion 1",0.556023852129407,3,7
"Bloque 2","Aplicacion 1",0.268565618051948,0,6
"Bloque 3","Aplicacion 1",0.041282691154629,0,8
"Bloque 4","Aplicacion 1",0.165808734577149,5,7
"Bloque 1","Aplicacion 2",0.688359104655683,15,19
"Bloque 2","Aplicacion 2",0.485340773686767,10,14
"Bloque 3","Aplicacion 2",1.91381723274639,14,16
"Bloque 4","Aplicacion 2",0.395002693370292,16,24
"Bloque 1","Aplicacion 3",0.688198553072289,29,37
"Bloque 2","Aplicacion 3",1.59844587374618,22,24
"Bloque 3","Aplicacion 3",1.74277087330287,28,30
"Bloque 4","Aplicacion 3",1.58447913649892,27,31
"Bloque 1","Aplicacion 4",1.03141414416898,44,54
"Bloque 2","Aplicacion 4",0.941945683615726,34,36
"Bloque 3","Aplicacion 4",0.286570208519697,40,46
"Bloque 4","Aplicacion 4",0.782310092066714,42,48
