"Maquina","Bloque","u"
"Maquina 3","Bloque 5",1
"Maquina 3","Bloque 9",1
"Maquina 1","Bloque 19",1
"Maquina 1","Bloque 20",1
"Maquina 3","Bloque 23",1
"Maquina 1","Bloque 24",1
"Maquina 1","Bloque 25",1
"Maquina 1","Bloque 26",1
"Maquina 3","Bloque 29",1
"Maquina 1","Bloque 30",1
"Maquina 3","Bloque 32",1
"Maquina 3","Bloque 33",1
"Maquina 1","Bloque 35",1
"Maquina 3","Bloque 37",1
"Maquina 1","Bloque 41",1
"Maquina 3","Bloque 42",1
"Maquina 1","Bloque 43",1
"Maquina 1","Bloque 45",1
"Maquina 1","Bloque 46",1
"Maquina 3","Bloque 50",1
"Maquina 1","Bloque 51",1
"Maquina 3","Bloque 51",1
"Maquina 1","Bloque 52",1
"Maquina 1","Bloque 57",1
"Maquina 3","Bloque 58",1
"Maquina 3","Bloque 60",1
"Maquina 3","Bloque 62",1
"Maquina 1","Bloque 65",1
"Maquina 3","Bloque 65",1
"Maquina 3","Bloque 67",1
"Maquina 1","Bloque 68",1
"Maquina 1","Bloque 70",1
"Maquina 3","Bloque 70",1
"Maquina 1","Bloque 73",1
"Maquina 1","Bloque 76",1
"Maquina 3","Bloque 76",1
"Maquina 3","Bloque 78",1
"Maquina 1","Bloque 85",1
"Maquina 3","Bloque 86",1
"Maquina 1","Bloque 87",1
"Maquina 3","Bloque 88",1
"Maquina 1","Bloque 89",1
"Maquina 1","Bloque 90",1
"Maquina 3","Bloque 91",1
"Maquina 3","Bloque 93",1
"Maquina 1","Bloque 98",1
"Maquina 3","Bloque 99",1
"Maquina 3","Bloque 101",1
"Maquina 3","Bloque 107",1
"Maquina 1","Bloque 108",1
"Maquina 1","Bloque 109",1
"Maquina 3","Bloque 109",1
"Maquina 1","Bloque 110",1
"Maquina 1","Bloque 111",1
"Maquina 3","Bloque 111",1
"Maquina 1","Bloque 113",1
"Maquina 3","Bloque 113",1
"Maquina 1","Bloque 116",1
"Maquina 3","Bloque 116",1
"Maquina 1","Bloque 117",1
