"Lote","x","y"
"Lote 1",-0.702975275926292,0.49269340839237
"Lote 2",0.578216435387731,-0.394636989105493
"Lote 3",0.185824420303106,0.661577357444912
"Lote 4",-0.476381096057594,-0.955703999847174
"Lote 5",0.793712355662137,0.95568425860256
"Lote 6",-0.604729019571096,-0.577664251904935
"Lote 7",-0.975011539645493,0.533301061019301
"Lote 8",-0.367320133373141,-0.940828561782837
"Lote 9",0.568640306591988,-0.611573506146669
"Lote 10",0.791932547930628,0.87923830980435
"Lote 11",0.744013098068535,0.341157329734415
"Lote 12",-0.588930070865899,-0.76047151023522
"Lote 13",0.432904279790819,-0.00544628873467445
"Lote 14",-0.671366669703275,0.9423270476982
"Lote 15",0.500131580047309,0.258546076249331
"Lote 16",-0.120277809910476,-0.416680790949613
"Lote 17",-0.663164674770087,0.225179232191294
"Lote 18",0.179029594175518,-0.463496692012995
