"Maquina","Bloque","u"
"Maquina 2","Bloque 1",1
"Maquina 2","Bloque 3",1
"Maquina 2","Bloque 4",1
"Maquina 4","Bloque 4",1
"Maquina 1","Bloque 5",1
"Maquina 4","Bloque 6",1
"Maquina 4","Bloque 7",1
"Maquina 4","Bloque 9",1
"Maquina 1","Bloque 10",1
"Maquina 2","Bloque 10",1
"Maquina 1","Bloque 11",1
"Maquina 2","Bloque 12",1
"Maquina 1","Bloque 13",1
"Maquina 2","Bloque 14",1
"Maquina 2","Bloque 15",1
"Maquina 1","Bloque 16",1
"Maquina 2","Bloque 16",1
"Maquina 1","Bloque 19",1
"Maquina 2","Bloque 19",1
"Maquina 4","Bloque 20",1
"Maquina 2","Bloque 21",1
"Maquina 4","Bloque 22",1
"Maquina 1","Bloque 24",1
"Maquina 2","Bloque 24",1
"Maquina 1","Bloque 25",1
"Maquina 4","Bloque 25",1
"Maquina 4","Bloque 26",1
"Maquina 2","Bloque 29",1
"Maquina 2","Bloque 31",1
"Maquina 4","Bloque 31",1
"Maquina 4","Bloque 34",1
