"Bloque","x","y"
"Bloque 0",0,0
"Bloque 1",-1.02104654565013,0.245593223586758
"Bloque 2",-1.07642541462626,0.478150150413385
"Bloque 3",-0.687205846806636,0.273180225013661
"Bloque 4",-1.01341210238185,0.283247500084353
"Bloque 5",-0.744097480637971,0.625833598458318
"Bloque 6",-0.378418516129056,0.586658258916615
"Bloque 7",-0.289019058081344,0.906920451383954
"Bloque 8",-0.493111965438868,0.818680009983725
"Bloque 9",-0.182172302822003,0.702225997829774
"Bloque 10",-0.495832129783135,0.759612528201514
"Bloque 11",-0.976343256541144,0.645308808622093
"Bloque 12",-0.984515313925232,0.67116765328121
"Bloque 13",-0.849516948338367,0.60881305301903
"Bloque 14",-0.737345661037458,1.01840214683379
"Bloque 15",-0.636755025002805,0.651836590420333
