"Lote","x","y"
"Lote 1",-0.600588208530098,-0.488389390986413
"Lote 2",0.792419776786119,0.990616769064218
"Lote 3",0.38405665801838,-0.645350410137326
"Lote 4",-0.811671271454543,0.290955210570246
"Lote 5",0.23862619465217,-0.934809687547386
"Lote 6",0.697686378378421,-0.0460055381990969
"Lote 7",-0.640823682770133,0.89667340554297
"Lote 8",-0.973358128219843,0.750949941575527
"Lote 9",0.177189779002219,-0.0284925145097077
"Lote 10",-0.219702498987317,0.958746291231364
"Lote 11",0.591164485551417,-0.0654474664479494
"Lote 12",0.749302654527128,-0.812059118412435
"Lote 13",-0.725992784369737,0.385163058526814
"Lote 14",0.0932731977663934,0.944254235364497
"Lote 15",-0.988221565261483,0.202035320922732
"Lote 16",-0.690591417253017,0.388216036371887
"Lote 17",-0.315236126538366,0.0596127398312092
"Lote 18",-0.796039188280702,0.363636811729521
"Lote 19",-0.941215373110026,-0.359720334410667
