"Bloque","x","y"
"Bloque 0",0,0
"Bloque 1",-0.545438037942697,-0.35280745802849
"Bloque 2",-0.613180926949872,-0.468047694247617
"Bloque 3",-0.55706219519514,-0.462968178011744
"Bloque 4",-0.628819841286856,-0.649954375464092
"Bloque 5",-0.546575131807825,-0.328334761992064
"Bloque 6",-0.574674075832991,-0.462520368108769
"Bloque 7",-0.646973250021136,-0.636140436601824
"Bloque 8",-0.491075529325432,-0.695693436392207
"Bloque 9",-0.763518099669463,-0.456515129900169
"Bloque 10",-0.459585192272717,-0.546895583143068
"Bloque 11",-0.70006681959742,-0.374768460573548
"Bloque 12",-0.635724490229382,-0.341432904062329
"Bloque 13",-0.704756315297411,-0.594629775297086
"Bloque 14",-0.400754580605619,-0.452078692475345
"Bloque 15",-0.602747961800041,-0.70495552343435
"Bloque 16",-0.319888801545388,-0.583757819153955
"Bloque 17",-0.655283830582154,-0.338439082802402
"Bloque 18",-0.496330217161344,-0.446074169422829
"Bloque 19",-0.613325924424082,-0.387022813975998
"Bloque 20",-0.777800809378796,-0.462631415148551
"Bloque 21",-0.575358821826203,-0.374112775313582
"Bloque 22",-0.768088154252234,-0.270061175579102
"Bloque 23",-0.4598944254937,-0.451414477880445
"Bloque 24",-0.539977251506911,-0.334738885536263
"Bloque 25",-0.678690369181161,-0.654666668419315
"Bloque 26",-0.854407215789599,-0.444468708775247
"Bloque 27",-0.536565294144549,-0.364088373353327
"Bloque 28",-0.558781213003859,-0.465161004150627
"Bloque 29",-0.599992731896088,-0.551339162082247
"Bloque 30",-0.417114012514698,-0.580217247118997
"Bloque 31",1.05570074806673,0.921211308125232
"Bloque 32",0.6856009955953,1.0524210674263
"Bloque 33",0.833500157169074,1.27630906998809
"Bloque 34",0.765309397354874,1.29411558096823
"Bloque 35",0.931165765726273,0.947340253925697
"Bloque 36",0.873442850916046,1.10893953582737
"Bloque 37",0.715563736828218,0.883022868511322
"Bloque 38",1.01400502242454,0.983083145682362
"Bloque 39",0.768241387847356,1.19847683960132
"Bloque 40",1.06409005529022,0.943220328834839
"Bloque 41",0.811631584889588,1.18734134735743
"Bloque 42",0.713341332086799,1.04005468691146
"Bloque 43",0.708532507684746,0.751769976623496
"Bloque 44",1.05911207490189,0.936824196923605
"Bloque 45",0.681050611497556,0.970478966930833
"Bloque 46",1.02888160590429,0.715148167442797
"Bloque 47",1.15858916732125,0.879878521632038
"Bloque 48",0.955192802065717,0.986600240742628
"Bloque 49",1.00494820789916,1.24805823165437
"Bloque 50",0.878830880252447,1.13307102473165
"Bloque 51",0.805337905241546,0.92354026247668
"Bloque 52",0.569830040486108,0.829555665178474
"Bloque 53",0.849849804393896,1.14118006989971
"Bloque 54",0.762495034132888,0.979365324428316
"Bloque 55",0.732406336068158,1.15766503335683
"Bloque 56",0.72491997177556,0.903115693480562
"Bloque 57",0.956540879391368,1.04806319251203
