"Bloque","x","y"
"Bloque 0",0,0
"Bloque 1",-0.740889602714848,-0.227074494304803
"Bloque 2",-1.15936128794356,-0.156041421988778
"Bloque 3",-0.733308039292971,-0.624465303318512
"Bloque 4",-0.763401070685561,-0.304427244456306
"Bloque 5",-0.616083469153785,-0.0820810636579801
"Bloque 6",-0.655771460798363,-0.00379328005925658
"Bloque 7",-0.653490970924393,-0.0407331276985786
"Bloque 8",-1.07491580547241,-0.233964722055647
"Bloque 9",-0.709856540186151,-0.098107242854273
"Bloque 10",-0.714766139146406,-0.320851107422463
"Bloque 11",-0.674590860303637,-0.0734803331572812
"Bloque 12",-1.00905686268183,0.122302065763669
"Bloque 13",-0.685082231578267,-0.100011083060642
"Bloque 14",-0.819648919907077,-0.0869419694011186
"Bloque 15",-0.859043658996262,-0.175078939077212
"Bloque 16",-0.70043897566247,-0.236349691600556
"Bloque 17",-0.613004518969422,-0.0214833307646377
"Bloque 18",-1.24732523605008,-0.283276329721608
"Bloque 19",-0.669309289781079,-0.257271923212022
"Bloque 20",-0.769141734082432,-0.428325223426259
"Bloque 21",-0.926723237561967,-0.0242894186146583
"Bloque 22",-0.759273300003124,-0.0208330357649543
"Bloque 23",-0.698663824786342,-0.312547132519446
"Bloque 24",-0.583289679104051,-0.326118451289288
"Bloque 25",-0.6010331656596,-0.0834110956770974
"Bloque 26",-0.959597127461975,-0.239363657275707
"Bloque 27",-0.827269388137662,-0.0647479910800848
"Bloque 28",-0.89565069013185,-0.148521747669584
"Bloque 29",-1.01133807133053,-0.263805931964512
"Bloque 30",-0.948288261837425,-0.141326602940358
"Bloque 31",-0.3446313159448,0.49821214045462
"Bloque 32",-0.284892617276424,-0.0378051154481469
"Bloque 33",-0.114011142498321,-0.108426167796351
"Bloque 34",-0.248990538674247,-0.125033604606309
"Bloque 35",-0.104396810180007,0.36849049322549
"Bloque 36",-0.156148581429322,0.133461869692356
"Bloque 37",-0.360032350787998,0.18610542539625
"Bloque 38",-0.058590042054992,0.0475134801781351
"Bloque 39",0.243328873703015,0.225615645987452
"Bloque 40",-0.113017101604419,0.0548093702322765
"Bloque 41",-0.225696172271651,0.0412756283519141
"Bloque 42",-0.422222928251461,-0.0888211600882049
"Bloque 43",-0.147194673377416,-0.230436310484283
"Bloque 44",0.0423192569965114,0.178701821614591
"Bloque 45",-0.0166853255887397,0.239271463602878
"Bloque 46",-0.0591291554439732,-0.0796598865030028
"Bloque 47",-0.222643371374632,0.286677597675151
"Bloque 48",0.0596660451623691,0.0898347954650692
"Bloque 49",-0.260231734543496,0.239400186708361
"Bloque 50",-0.365073621208032,-0.0594109325041684
"Bloque 51",-0.133066975200401,-0.0199912535816174
"Bloque 52",-0.0523218554742883,0.314915257725924
"Bloque 53",-0.443308369164399,0.0394561054260479
"Bloque 54",-0.165658579076351,0.0994308905870322
"Bloque 55",-0.0884543731864072,0.169477880605132
"Bloque 56",-0.179332961244911,0.364533559576294
"Bloque 57",0.136575896247302,0.20034690636257
"Bloque 58",-0.085430263082578,-0.00682526929937105
"Bloque 59",-0.109798451732058,0.118835471888988
"Bloque 60",0.235837750483286,-0.0496556136102597
"Bloque 61",-0.817962908662494,-0.0436908880922275
"Bloque 62",-0.939218771904475,-0.0999559630970144
