"Lote","x","y"
"Lote 1",-0.769553391262889,-0.178224034141749
"Lote 2",-0.139927967917174,0.108523156959563
"Lote 3",-0.900624332949519,-0.038465223275125
"Lote 4",-0.691088322084397,-0.349271409213543
"Lote 5",0.887234502937645,-0.411151559557766
"Lote 6",0.452776068821549,0.709610774647444
"Lote 7",0.155305289663374,0.781385748181492
"Lote 8",-0.895112469326705,0.475954561959952
"Lote 9",-0.585303161758929,-0.501440748106688
"Lote 10",0.864710141438991,-0.488216888625175
"Lote 11",0.874766458757222,0.0933084995485842
"Lote 12",-0.989823410753161,0.826429562177509
"Lote 13",0.159002409316599,0.626941295340657
"Lote 14",0.363509674556553,-0.195561910048127
"Lote 15",0.983286745846272,-0.381275234278291
"Lote 16",0.376998579129577,0.927330468315631
"Lote 17",0.806798245292157,0.868476696778089
"Lote 18",0.172888251021504,0.453204420395195
