"Bloque1","Bloque2","Distancia"
"Bloque 0","Bloque 0",0
"Bloque 1","Bloque 0",0.295918477982634
"Bloque 2","Bloque 0",0.17274944951377
"Bloque 3","Bloque 0",0.673866128072449
"Bloque 4","Bloque 0",0.631684588413104
"Bloque 5","Bloque 0",0.485386184254803
"Bloque 6","Bloque 0",0.657144315910822
"Bloque 7","Bloque 0",0.655521921230396
"Bloque 8","Bloque 0",1.10010771439793
"Bloque 9","Bloque 0",1.11040244097147
"Bloque 10","Bloque 0",0.75658000291679
"Bloque 11","Bloque 0",1.24470081781206
"Bloque 12","Bloque 0",1.01100258932852
"Bloque 13","Bloque 0",1.1991249900714
"Bloque 14","Bloque 0",1.59520650247426
"Bloque 15","Bloque 0",0.744749629025302
"Bloque 16","Bloque 0",0.777891676779784
"Bloque 17","Bloque 0",0.592865162111089
"Bloque 18","Bloque 0",0.521367914631514
"Bloque 19","Bloque 0",0.655692385987259
"Bloque 20","Bloque 0",0.448563568922763
"Bloque 21","Bloque 0",0.232781287550744
"Bloque 22","Bloque 0",1.47763627848643
"Bloque 23","Bloque 0",1.53600802319605
"Bloque 24","Bloque 0",0.953542174661073
"Bloque 25","Bloque 0",1.34998928565449
"Bloque 26","Bloque 0",1.89903639106828
"Bloque 27","Bloque 0",1.05939517343658
"Bloque 28","Bloque 0",1.14435963930513
"Bloque 29","Bloque 0",1.2298515948843
"Bloque 30","Bloque 0",0.905405401440711
"Bloque 31","Bloque 0",0.750624163761149
"Bloque 32","Bloque 0",1.02200715014971
"Bloque 33","Bloque 0",0.772132054036051
"Bloque 34","Bloque 0",0.968958872631256
"Bloque 35","Bloque 0",0.593358241453733
"Bloque 0","Bloque 1",0.295918477982634
"Bloque 1","Bloque 1",0
"Bloque 2","Bloque 1",0.261599281197888
"Bloque 3","Bloque 1",0.485578156707291
"Bloque 4","Bloque 1",0.495764359641711
"Bloque 5","Bloque 1",0.297098212889645
"Bloque 6","Bloque 1",0.468856344545664
"Bloque 7","Bloque 1",0.467233949865238
"Bloque 8","Bloque 1",1.39602619238056
"Bloque 9","Bloque 1",1.4063209189541
"Bloque 10","Bloque 1",1.05249848089942
"Bloque 11","Bloque 1",1.5406192957947
"Bloque 12","Bloque 1",1.30692106731116
"Bloque 13","Bloque 1",1.49504346805404
"Bloque 14","Bloque 1",1.8911249804569
"Bloque 15","Bloque 1",0.93303760039046
"Bloque 16","Bloque 1",0.966179648144942
"Bloque 17","Bloque 1",0.781153133476247
"Bloque 18","Bloque 1",0.709655885996672
"Bloque 19","Bloque 1",0.843980357352416
"Bloque 20","Bloque 1",0.63685154028792
"Bloque 21","Bloque 1",0.421069258915902
"Bloque 22","Bloque 1",1.77355475646906
"Bloque 23","Bloque 1",1.83192650117868
"Bloque 24","Bloque 1",1.24946065264371
"Bloque 25","Bloque 1",1.64590776363712
"Bloque 26","Bloque 1",2.19495486905091
"Bloque 27","Bloque 1",1.35531365141922
"Bloque 28","Bloque 1",1.44027811728776
"Bloque 29","Bloque 1",1.41813956624946
"Bloque 30","Bloque 1",1.20132387942334
"Bloque 31","Bloque 1",1.04654264174378
"Bloque 32","Bloque 1",1.31792562813235
"Bloque 33","Bloque 1",1.06805053201868
"Bloque 34","Bloque 1",1.26487735061389
"Bloque 35","Bloque 1",0.889276719436367
"Bloque 0","Bloque 2",0.17274944951377
"Bloque 1","Bloque 2",0.261599281197888
"Bloque 2","Bloque 2",0
"Bloque 3","Bloque 2",0.501116678558679
"Bloque 4","Bloque 2",0.458935138899334
"Bloque 5","Bloque 2",0.312636734741033
"Bloque 6","Bloque 2",0.484394866397052
"Bloque 7","Bloque 2",0.482772471716626
"Bloque 8","Bloque 2",1.13442691118268
"Bloque 9","Bloque 2",1.14472163775621
"Bloque 10","Bloque 2",0.790899199701536
"Bloque 11","Bloque 2",1.27902001459681
"Bloque 12","Bloque 2",1.04532178611327
"Bloque 13","Bloque 2",1.23344418685615
"Bloque 14","Bloque 2",1.62952569925901
"Bloque 15","Bloque 2",0.917499078539072
"Bloque 16","Bloque 2",0.950641126293554
"Bloque 17","Bloque 2",0.765614611624859
"Bloque 18","Bloque 2",0.694117364145284
"Bloque 19","Bloque 2",0.828441835501029
"Bloque 20","Bloque 2",0.621313018436533
"Bloque 21","Bloque 2",0.405530737064514
"Bloque 22","Bloque 2",1.51195547527118
"Bloque 23","Bloque 2",1.57032721998079
"Bloque 24","Bloque 2",0.987861371445819
"Bloque 25","Bloque 2",1.38430848243923
"Bloque 26","Bloque 2",1.93335558785302
"Bloque 27","Bloque 2",1.09371437022133
"Bloque 28","Bloque 2",1.17867883608988
"Bloque 29","Bloque 2",1.40260104439807
"Bloque 30","Bloque 2",0.939724598225457
"Bloque 31","Bloque 2",0.827581738501185
"Bloque 32","Bloque 2",1.05632634693446
"Bloque 33","Bloque 2",0.806451250820797
"Bloque 34","Bloque 2",1.003278069416
"Bloque 35","Bloque 2",0.627677438238479
"Bloque 0","Bloque 3",0.673866128072449
"Bloque 1","Bloque 3",0.485578156707291
"Bloque 2","Bloque 3",0.501116678558679
"Bloque 3","Bloque 3",0
"Bloque 4","Bloque 3",0.579542142642381
"Bloque 5","Bloque 3",0.351575830854869
"Bloque 6","Bloque 3",0.317007643611516
"Bloque 7","Bloque 3",0.426796511302894
"Bloque 8","Bloque 3",1.47980397538123
"Bloque 9","Bloque 3",1.49009870195477
"Bloque 10","Bloque 3",1.13627626390009
"Bloque 11","Bloque 3",1.62439707879537
"Bloque 12","Bloque 3",1.39069885031183
"Bloque 13","Bloque 3",1.57882125105471
"Bloque 14","Bloque 3",1.97490276345757
"Bloque 15","Bloque 3",1.41861575709775
"Bloque 16","Bloque 3",1.45175780485223
"Bloque 17","Bloque 3",1.26673129018354
"Bloque 18","Bloque 3",1.19523404270396
"Bloque 19","Bloque 3",1.32955851405971
"Bloque 20","Bloque 3",1.12242969699521
"Bloque 21","Bloque 3",0.906647415623193
"Bloque 22","Bloque 3",1.85733253946973
"Bloque 23","Bloque 3",1.91570428417935
"Bloque 24","Bloque 3",1.33323843564438
"Bloque 25","Bloque 3",1.72968554663779
"Bloque 26","Bloque 3",2.27873265205158
"Bloque 27","Bloque 3",1.43909143441989
"Bloque 28","Bloque 3",1.52405590028843
"Bloque 29","Bloque 3",1.90371772295675
"Bloque 30","Bloque 3",1.32114666885647
"Bloque 31","Bloque 3",1.32869841705986
"Bloque 32","Bloque 3",1.40170341113302
"Bloque 33","Bloque 3",1.15182831501935
"Bloque 34","Bloque 3",1.34865513361456
"Bloque 35","Bloque 3",1.00111019341907
"Bloque 0","Bloque 4",0.631684588413104
"Bloque 1","Bloque 4",0.495764359641711
"Bloque 2","Bloque 4",0.458935138899334
"Bloque 3","Bloque 4",0.579542142642381
"Bloque 4","Bloque 4",0
"Bloque 5","Bloque 4",0.227966311787512
"Bloque 6","Bloque 4",0.262534499030865
"Bloque 7","Bloque 4",0.152745631339488
"Bloque 8","Bloque 4",1.07048093862404
