"Bloque","Aplicacion","tProcesamiento","dInicio","dFin"
"Bloque 0","-",0,0,0
"Bloque 1","Aplicacion 1",2.71043494025204,5,11
"Bloque 2","Aplicacion 1",2.89659436221579,2,8
"Bloque 3","Aplicacion 1",0.00640880467916329,5,9
"Bloque 4","Aplicacion 1",1.17106568133228,1,5
"Bloque 1","Aplicacion 2",0.519648352035666,19,27
"Bloque 2","Aplicacion 2",1.31031356486107,13,21
"Bloque 3","Aplicacion 2",0.246558250486851,16,26
"Bloque 4","Aplicacion 2",0.0778351791162388,11,13
"Bloque 1","Aplicacion 3",2.21618832045033,33,43
"Bloque 2","Aplicacion 3",2.13103178583815,23,27
"Bloque 3","Aplicacion 3",1.57684880935385,31,41
"Bloque 4","Aplicacion 3",3.72095796077057,23,27
"Bloque 1","Aplicacion 4",0.817597965680459,45,47
"Bloque 2","Aplicacion 4",1.00802473624875,36,44
"Bloque 3","Aplicacion 4",0.140649650385603,43,45
"Bloque 4","Aplicacion 4",0.0196887247730047,33,39
"Bloque 1","Aplicacion 5",0.482762638293207,56,66
"Bloque 2","Aplicacion 5",0.594532362604514,48,56
"Bloque 3","Aplicacion 5",0.671074822451919,57,63
"Bloque 4","Aplicacion 5",2.89894019556339,44,52
