"Lote","x","y"
"Lote 1",-0.855083707720041,-0.222797780297697
"Lote 2",0.801659257616848,-0.844891451299191
"Lote 3",-0.301645553670824,-0.679643953219056
"Lote 4",-0.0176788922399282,0.0922182840295136
"Lote 5",0.468616087455302,-0.99615214811638
"Lote 6",0.319681280758232,0.73223790153861
"Lote 7",0.271034019999206,0.569468764122576
"Lote 8",0.20297503657639,0.034761275164783
"Lote 9",-0.158674375154078,-0.268049833364785
"Lote 10",0.812909484375268,-0.340825031045824
"Lote 11",0.157025315798819,0.103392486460507
"Lote 12",0.620799916330725,-0.303108054678887
"Lote 13",0.773148362059146,0.956790250260383
"Lote 14",-0.255856024567038,0.517547889612615
"Lote 15",0.360813638195395,0.285609447397292
