"Bloque","x","y"
"Bloque 0",0,0
"Bloque 1",-0.91398998908024,-0.321625539727547
"Bloque 2",-0.647803425872516,-0.0724856710728248
"Bloque 3",-0.564053088669956,-0.277158564775336
"Bloque 4",-0.798198666003046,-0.0722103053650336
"Bloque 5",-1.058114420192,-0.301964014520654
"Bloque 6",-0.844051860387016,0.0694193095567025
"Bloque 7",-0.924530767905352,0.134679398735246
"Bloque 8",-0.871969602166254,0.124785662177232
"Bloque 9",-0.862312073623264,0.146797120668036
"Bloque 10",-0.83596189722913,0.218328905774481
"Bloque 11",-1.05449761935351,-0.903622048499636
"Bloque 12",-0.827049750970133,-1.06860921523898
"Bloque 13",-0.785004201996305,-0.827113369371582
"Bloque 14",-0.815208559938537,-0.685958652318674
"Bloque 15",-1.21402793137346,-0.975348624185894
