"Bloque","x","y"
"Bloque 0",0,0
"Bloque 1",-0.215605958076044,-0.0738043730353551
"Bloque 2",-0.174368247350133,-0.398094858491606
"Bloque 3",-0.0946884698651158,-0.568717610291087
"Bloque 4",0.153133698361578,-0.208655522559361
"Bloque 5",-0.0774126428893823,-0.28515228248799
"Bloque 6",-0.203830737357241,-0.50843427372169
"Bloque 7",-0.027622438218675,-0.244782911722277
"Bloque 8",0.285165146719591,0.301946734324029
"Bloque 9",0.0809785343779115,0.564100084504893
"Bloque 10",0.258134924150821,0.173652593795277
"Bloque 11",0.563972036472345,0.308063297329816
"Bloque 12",0.694281775373297,0.389790178023803
"Bloque 13",0.61977133474742,0.401898801411521
"Bloque 14",0.483628089391504,0.782399613229246
"Bloque 15",-0.0343010441271328,0.460121209341676
"Bloque 16",0.0533587978536542,0.248075273149976
"Bloque 17",0.269508803225349,0.111097859692485
"Bloque 18",0.0828187855743935,0.213537793272609
"Bloque 19",0.168252103631869,0.361994067272316
"Bloque 20",0.0741836109324107,0.226726627870729
"Bloque 21",0.0368564056428729,0.22372910368287
"Bloque 22",-0.510349547488076,-0.8441439995477
"Bloque 23",-0.70562231322659,-0.702680444709268
"Bloque 24",-0.807084151362995,-0.710450994450919
"Bloque 25",-0.565735204118515,-0.734446591577438
"Bloque 26",-0.774556904644867,-0.655859907301087
"Bloque 27",-0.571945317078973,-0.725985826697093
"Bloque 28",-0.71050797295433,-0.685079097590619
"Bloque 29",-0.0381753200197809,0.468713863427655
"Bloque 30",-0.0902336601098024,0.115025199083561
"Bloque 31",-0.177370863329092,0.282664299517805
"Bloque 32",0.0532079971189805,0.407737334160008
"Bloque 33",-0.236498454766475,0.482425122365657
"Bloque 34",-0.171104213069505,0.300581601378351
"Bloque 35",-0.0858159762787359,0.449324829029382
"Bloque 36",-0.0045463715879861,-0.348558997602507
"Bloque 37",-0.00743437431218338,-0.243104378439732
"Bloque 38",-0.0365647298427155,-0.11364316638946
"Bloque 39",0.0552395561444182,0.184488319446661
"Bloque 40",0.181394691614006,-0.121307829202437
"Bloque 41",0.100209583229222,-0.475312457374448
"Bloque 42",0.287075745362554,-0.230696027042541
