"Bloque1","Bloque2","Distancia"
"Bloque 0","Bloque 0",0
"Bloque 1","Bloque 0",0.272395504628667
"Bloque 2","Bloque 0",0.153861643255977
"Bloque 3","Bloque 0",0.911742181393496
"Bloque 4","Bloque 0",0.848975374211385
"Bloque 5","Bloque 0",1.05196393637553
"Bloque 6","Bloque 0",1.11067670873278
"Bloque 0","Bloque 1",0.272395504628667
"Bloque 1","Bloque 1",0
"Bloque 2","Bloque 1",0.268770548103949
"Bloque 3","Bloque 1",1.02665108624147
"Bloque 4","Bloque 1",1.12137087884005
"Bloque 5","Bloque 1",1.3243594410042
"Bloque 6","Bloque 1",1.38307221336145
"Bloque 0","Bloque 2",0.153861643255977
"Bloque 1","Bloque 2",0.268770548103949
"Bloque 2","Bloque 2",0
"Bloque 3","Bloque 2",0.757880538137518
"Bloque 4","Bloque 2",0.969409955873544
"Bloque 5","Bloque 2",1.17239851803769
"Bloque 6","Bloque 2",1.23111129039494
"Bloque 0","Bloque 3",0.911742181393496
"Bloque 1","Bloque 3",1.02665108624147
"Bloque 2","Bloque 3",0.757880538137518
"Bloque 3","Bloque 3",0
"Bloque 4","Bloque 3",0.269087996294174
"Bloque 5","Bloque 3",0.730216844509384
"Bloque 6","Bloque 3",0.78292909031186
"Bloque 0","Bloque 4",0.848975374211385
"Bloque 1","Bloque 4",1.12137087884005
"Bloque 2","Bloque 4",0.969409955873544
"Bloque 3","Bloque 4",0.269087996294174
"Bloque 4","Bloque 4",0
"Bloque 5","Bloque 4",0.556179624894197
"Bloque 6","Bloque 4",0.608891870696673
"Bloque 0","Bloque 5",1.05196393637553
"Bloque 1","Bloque 5",1.3243594410042
"Bloque 2","Bloque 5",1.17239851803769
"Bloque 3","Bloque 5",0.730216844509384
"Bloque 4","Bloque 5",0.556179624894197
"Bloque 5","Bloque 5",0
"Bloque 6","Bloque 5",0.058712772357253
"Bloque 0","Bloque 6",1.11067670873278
"Bloque 1","Bloque 6",1.38307221336145
"Bloque 2","Bloque 6",1.23111129039494
"Bloque 3","Bloque 6",0.78292909031186
"Bloque 4","Bloque 6",0.608891870696673
"Bloque 5","Bloque 6",0.058712772357253
"Bloque 6","Bloque 6",0
